id_publication,reference_arrete,date_debut,date_fin,date_debut_inferee,correction_manuelle,source_url
14-2024-03-29-00004,,2024-03-29,2024-04-02,,,https://www.calvados.gouv.fr/contenu/telechargement/23912/176084/file/recueil-14-2024-098-recueil-des-actes-administratifs-special.pdf
14-2024-08-12-00005,2024-530-CAB-BSOP,2024-08-12,2024-09-08,oui,,https://www.calvados.gouv.fr/contenu/telechargement/25084/184350/file/recueil-14-2024-248-recueil-des-actes-administratifs-special.pdf
14-2024-09-13-00001,2024-548-CAB-BSOP,2024-09-13,2024-09-16,,,https://www.calvados.gouv.fr/contenu/telechargement/25227/185378/file/recueil-14-2024-274-recueil-des-actes-administratifs-special.pdf
14-2024-10-10-00007,2024-697-CAB-BSOP,2024-10-11,2024-10-14,,,https://www.calvados.gouv.fr/contenu/telechargement/25425/186943/file/recueil-14-2024-300-recueil-des-actes-administratifs-special.pdf
14-2024-10-18-00001,2024-700-CAB-BSOP,2024-10-18,2024-10-21,,,https://www.calvados.gouv.fr/contenu/telechargement/25479/187345/file/recueil-14-2024-306-recueil-des-actes-administratifs-special.pdf
14-2024-11-08-00002,,2024-11-08,2024-11-12,,,https://www.calvados.gouv.fr/contenu/telechargement/25667/188800/file/recueil-14-2024-325-recueil-des-actes-administratifs.pdf
14-2024-12-12-00002,2024-733-CAB-BSOP,2024-12-13,2024-12-16,,,https://www.calvados.gouv.fr/contenu/telechargement/26086/191773/file/recueil-14-2024-357-recueil-des-actes-administratifs.pdf
14-2024-12-31-00001,,2024-12-31,2025-01-06,,,https://www.calvados.gouv.fr/contenu/telechargement/26219/192648/file/recueil-14-2024-372-recueil-des-actes-administratifs-special.pdf
14-2025-02-19-00003,2025-31-CAB-BSOP,2025-02-21,2025-02-24,,,https://www.calvados.gouv.fr/contenu/telechargement/26864/197550/file/recueil-14-2025-073-recueil-des-actes-administratifs-special.pdf
14-2025-03-12-00002,,2025-03-14,2025-03-17,,,https://www.calvados.gouv.fr/contenu/telechargement/27003/198617/file/recueil-14-2025-093-recueil-des-actes-administratifs-special.pdf
14-2025-03-21-00001,2025-47-CAB-BSOP,2025-03-21,2025-03-24,,,https://www.calvados.gouv.fr/contenu/telechargement/27038/198877/file/recueil-14-2025-102-recueil-des-actes-administratifs-special.pdf
14-2025-04-25-00006,2025-84-CAB-BSOP,2025-04-30,2025-05-05,,,https://www.calvados.gouv.fr/contenu/telechargement/27440/201790/file/recueil-14-2025-150-recueil-des-actes-administratifs.pdf
14-2025-05-23-00002,2025-153-CAB-BSOP,2025-05-23,2025-05-26,,OCR avait lu '20285' (bruit image) au lieu de '2025' pour la date de fin -- corrige a la main apres verification du texte source.,https://www.calvados.gouv.fr/contenu/telechargement/27728/203633/file/recueil-14-2025-172-recueil-des-actes-administratifs-special.pdf
14-2025-06-13-00001,2025-164-CAB-BSOP,2025-06-13,2025-06-16,,,https://www.calvados.gouv.fr/contenu/telechargement/28080/205535/file/recueil-14-2025-201-recueil-des-actes-administratifs-special.pdf
14-2025-06-18-00002,2025-222-CAB-BSOP,2025-06-20,2025-06-23,,,https://www.calvados.gouv.fr/contenu/telechargement/28139/206006/file/recueil-14-2025-206-recueil-des-actes-administratifs-special.pdf
14-2025-07-07-00001,2025-163-CAB-BSOP,2025-07-11,2025-07-15,,,https://www.calvados.gouv.fr/contenu/telechargement/28323/207421/file/recueil-14-2025-234-recueil-des-actes-administratifs-special.pdf
14-2025-09-17-00008,2025-332-CAB-BSOP,2025-09-19,2025-09-22,,,https://www.calvados.gouv.fr/contenu/telechargement/29035/212082/file/recueil-14-2025-320-recueil-des-actes-administratifs-nominatifs(1).pdf
